gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur
Chain_V_1_163	0.475801	-0.852793	-5.54233	-0.798772	-0.413317	-0.11177
Chain_V_1_164	0.304832	-0.667618	-4.96119	-0.781563	-0.39004	-0.122127
Chain_V_1_165	0.337378	-0.670899	-4.91098	-0.868268	-0.409028	-0.13747
Chain_V_1_166	0.327135	-0.68167	-5.0465	-0.835449	-0.424657	-0.13984
Chain_V_1_176	0.173871	-0.305088	-4.17815	-1.22547	-0.731471	-0.318098
Chain_V_1_177	0.169631	-0.310061	-4.17728	-1.22394	-0.729547	-0.318441
Chain_V_1_178	0.172965	-0.306542	-4.17945	-1.22843	-0.729061	-0.318184
Chain_V_1_179	0.170019	-0.309964	-4.17921	-1.22073	-0.727936	-0.318192
Chain_V_1_180	0.0635302	-0.122029	-3.80736	-1.16103	-0.792361	-0.35785
Chain_V_1_181	0.0840865	-0.183915	-3.87205	-1.17336	-0.796821	-0.361675
Chain_V_1_182	0.0733876	-0.128722	-3.77184	-1.13449	-0.800772	-0.353595
Chain_V_1_192	0.0121971	-0.177605	-3.72658	-1.29602	-0.938939	-0.352593
Chain_V_1_193	0.053893	-0.22282	-3.79331	-1.29476	-0.943896	-0.350934
Chain_V_1_194	0.0654438	-0.235673	-3.87676	-1.3834	-0.994729	-0.368688
Chain_V_1_195	0.0495974	-0.216565	-3.78204	-1.24949	-0.921831	-0.34299
Chain_V_1_196	0.0541734	-0.215038	-3.78009	-1.26829	-0.929088	-0.345339
Chain_V_1_197	0.053887	-0.221859	-3.79455	-1.29595	-0.944406	-0.351101
Chain_V_1_198	0.225803	-0.469951	-6.4277	-0.27702	-0.350265	0.0221288
Chain_V_1_199	0.201386	-0.460074	-6.01095	-0.354384	-0.14971	0.0753022
Chain_V_1_200	0.144859	-0.282762	-3.84909	-0.871009	-1.26288	-0.496636
Chain_V_1_201	0.147802	-0.28204	-3.77753	-0.890272	-1.31232	-0.499918
Chain_V_1_202	0.141645	-0.278306	-3.84896	-0.869672	-1.26662	-0.496921
Chain_V_1_203	0.568341	-0.722934	-7.39895	-0.253808	-0.0166582	0.0830506
Chain_V_1_204	0.490782	-0.600669	-7.42428	-0.24201	-0.186184	0.0571733
Chain_V_1_205	0.500846	-0.606834	-7.4152	-0.239914	-0.175397	0.0607101
Chain_V_1_218	0.084088	-0.162677	-3.54429	-1.10806	-1.0197	-0.389453
Chain_V_1_219	0.0768978	-0.131891	-3.54299	-1.10921	-1.02794	-0.384376
Chain_V_1_220	0.0817517	-0.154053	-3.54412	-1.1102	-1.02156	-0.38796
Chain_V_1_221	0.0786939	-0.12443	-3.52875	-1.10371	-1.03958	-0.381465
