gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur	mse
DLE1_35_17	-0.0905222	0.8846569999999999	9.05666	-0.22188400000000003	2.44666	0.657197	3.5576234782683027
DLE1_35_18	-0.0916649	0.871883	7.892580000000001	0.169059	1.9576200000000001	0.5638569999999999	3.0599171829297727
DLE1_35_2	-0.53666	5.7693900000000005	16.5813	2.8962	-0.28726999999999997	-0.112347	6.2964428753941
DLE1_35_3	-0.433724	5.37983	16.0744	2.5735200000000003	0.39876500000000004	0.120603	6.0686861587451535
DLE1_35_4	-0.27222399999999997	4.19488	13.6246	1.9052099999999998	0.628652	0.270715	5.101342605716815
DLE1_35_5	-0.271007	4.18313	13.749	2.195	1.2272299999999998	0.395549	5.197352533033646
DLE1_35_6	-0.27663499999999996	3.91574	13.4027	2.54323	2.02389	0.641998	5.174583152559598
DLE1_35_7	-0.313582	3.47725	13.0599	2.10946	2.69255	0.843041	5.119333518266868
DLE1_35_8	-0.21906599999999998	3.9803800000000003	14.2711	2.67624	1.79045	0.645408	5.4400328089350705
DLE1_35_9	-0.404248	4.7122	13.8998	2.45887	-0.652059	-0.130961	5.27862932734872
DLE1_36_0	-0.47161499999999995	5.27006	14.8937	2.8405400000000003	-0.9747889999999999	-0.0137639	5.708959521247405
DLE1_36_1	-0.543238	5.3840900000000005	15.0499	2.6981900000000003	-0.772625	-0.0157489	5.753850321073818
DLE1_36_10	-0.178814	2.99582	10.8798	1.46397	0.820152	0.219652	4.055649809683892
DLE1_36_11	-0.138035	2.76131	10.789000000000001	1.68197	1.65025	0.47518900000000003	4.112043446260114
DLE1_36_12	-0.17208099999999998	2.89836	11.3156	1.7728599999999999	1.6417099999999998	0.54597	4.3011576481361535
DLE1_36_13	-0.466293	3.71863	12.2277	1.59398	-0.197697	-0.18068199999999998	4.55868616031116
DLE1_36_14	-0.250891	2.1335900000000003	9.35623	0.9395370000000001	0.60735	0.096167	3.4306120505064217
DLE1_36_15	-0.14796600000000001	1.7713900000000002	9.27009	0.889086	2.1624	0.649062	3.611335655830748
DLE1_36_16	-0.08562869999999999	1.27844	7.24574	0.7330939999999999	0.331993	0.024229	2.6222881508543185
DLE1_36_17	-0.09346139999999999	0.859375	8.633410000000001	-0.150738	2.3561400000000003	0.6372680000000001	3.397904652121712
DLE1_36_18	-0.09904199999999999	0.8927440000000001	7.595339999999999	0.221402	1.8821599999999998	0.545226	2.9468173492002347
DLE1_36_2	-0.467208	5.57776	16.2149	2.7775	-0.279457	-0.102501	6.146258753221467
DLE1_36_3	-0.392837	5.16366	15.6173	2.5565700000000002	0.37338000000000005	0.11599999999999999	5.891577768648533
DLE1_36_4	-0.22011599999999998	4.05106	13.210999999999999	1.8605900000000002	0.554451	0.248973	4.942621895488365
DLE1_36_5	-0.22886199999999998	4.0995800000000004	13.5097	2.17956	1.19089	0.387832	5.105468642930441
DLE1_36_6	-0.248365	3.6958599999999997	12.583	2.481	1.8696599999999999	0.58822	4.861085329276079
DLE1_36_7	-0.264412	3.32594	12.4976	2.01556	2.53747	0.808563	4.890735049440588
DLE1_36_8	-0.197689	3.8017800000000004	13.7409	2.6238	1.71653	0.6226550000000001	5.237084068578215
DLE1_36_9	-0.333418	4.55724	13.5176	2.43847	-0.6462760000000001	-0.13081600000000002	5.1334854206426845
DLE1_37_0	-0.49651999999999996	5.18349	14.7637	2.8094200000000003	-0.969197	-0.0154504	5.654567250309558
DLE1_37_1	-0.53982	5.40267	15.1117	2.71035	-0.774317	-0.014893	5.77698715838018
DLE1_37_10	-0.187568	2.98734	10.8486	1.4574799999999999	0.818404	0.21850300000000003	4.044021062372218
DLE1_37_11	-0.149673	2.8042700000000003	10.9153	1.68822	1.66956	0.479793	4.160418942274294
DLE1_37_12	-0.18140699999999998	2.85043	11.2064	1.7549400000000002	1.62753	0.540265	4.258220329860146
DLE1_37_13	-0.45570299999999997	3.71772	12.204	1.59004	-0.201128	-0.180425	4.550396425340132
DLE1_37_14	-0.240062	2.13845	9.31369	0.937917	0.605011	0.09545819999999999	3.416180891720373
DLE1_37_15	-0.14607699999999998	1.7492400000000001	9.2129	0.887209	2.1495	0.645142	3.588577438160106
DLE1_37_16	-0.07894889999999999	1.26778	7.24492	0.733487	0.334465	0.025204	2.6214643759040293
DLE1_37_17	-0.0860441	0.865557	8.68699	-0.159477	2.36883	0.640048	3.4185075111447905
DLE1_37_18	-0.0954328	0.889595	7.596239999999999	0.220558	1.8825	0.545188	2.947046049810912
DLE1_37_2	-0.41723000000000005	5.48473	15.8808	2.7460000000000004	-0.270889	-0.102386	6.023156296014563
DLE1_37_3	-0.402344	5.15832	15.5828	2.55004	0.37354299999999996	0.11530399999999999	5.879289964456795
